Date,Temperature,TDS,EC,Light Intensity,Survival Rate,Growth rate,pH Level
8/1/2024,26.01,228,340.2985075,Medium,100,0,7.71
8/2/2024,25.3,234,365.625,Medium,100,0,8.18
8/3/2024,24.6,255,398.4375,high,100,0,9.18
8/4/2024,26.09,315,492.1875,high,100,0,8.84
8/5/2024,25.4,128,200,Medium,100,0,8.16
8/6/2024,24.32,196,306.25,Medium,100,0,9.19
8/7/2024,25.12,228,356.25,Medium,100,0,8.41
8/8/2024,26.01,254,396.875,low,100,0,7.22
8/9/2024,24.71,291,454.6875,low,100,0,8.13
8/10/2024,23.8,317,495.3125,low,100,0,9.02
8/11/2024,22.45,129,201.5625,Medium,100,0,8.27
8/12/2024,23.5,167,260.9375,high,100,0,9.01
8/13/2024,24.15,188,293.75,high,100,0,8.25
8/14/2024,24.5,216,337.5,high,100,0,7.46
8/15/2024,25.7,244,381.25,Medium,100,0,7.14
8/16/2024,26.91,269,420.3125,Medium,100,0,8.43
8/17/2024,27.03,134,209.375,Medium,100,0,9.14
8/18/2024,26.18,165,257.8125,high,100,0,8.19
8/19/2024,25.33,181,282.8125,high,100,0,7.82
8/20/2024,25.01,197,307.8125,Medium,100,0,8.8
21/08/2024,24.21,228,356.25,Medium,100,,7.71
22/08/2024,25.32,234,365.625,Medium,100,0,8.18
23/08/2024,20,255,398.4375,low,100,0,9.18
24/08/2024,19,315,492.1875,low,100,0,8.84
25/08/2024,21.5,128,200,Medium,100,0,8.16
26/08/2024,20,196,306.25,Medium,100,0,9.19
27/08/2024,22,228,356.25,Medium,100,0,8.41
28/08/2024,22.5,254,396.875,low,100,0,7.22
29/08/2024,22,291,454.6875,low,100,0,8.13
30/08/2024,24.8,317,495.3125,low,100,0,9.02
31/08/2024,22.72,129,201.5625,Medium,100,12859.30%,8.27
1/9/2024,23.05,167,260.9375,high,100,0,9.01
2/9/2024,24.15,188,293.75,high,100,0,8.25
3/9/2024,25.55,216,337.5,high,100,0,7.46
4/9/2024,25.71,244,381.25,Medium,100,0,7.14
5/9/2024,26.91,269,420.3125,Medium,100,0,8.43
6/9/2024,25.03,134,209.375,Medium,100,0,9.14
7/9/2024,25.28,165,257.8125,high,100,0,8.19
8/9/2024,25.03,181,282.8125,high,100,0,7.82
9/9/2024,24.41,142,221.875,Medium,100,0,6.97
10/9/2024,23.52,150,234.375,Medium,100,0,7.07
11/9/2024,21.23,148,231.25,Medium,100,0,7.59
12/9/2024,22.06,149,232.8125,low,100,,7.88
13/9/2024,22.7,162,253.125,low,100,0,8.05
14/9/2024,23.45,165,257.8125,Medium,100,0,7.08
15/9/2024,24.8,143,223.4375,Medium,100,0,7.31
16/9/2024,25,149,232.8125,Medium,100,0,7.48
17/9/2024,20.5,152,237.5,low,100,0,7.73
18/9/2024,20,153,239.0625,low,100,0,7.81
19/9/2024,21,140,218.75,low,100,0,8
20/9/2024,20,132,206.25,high,100,0,8.05
21/9/2024,21.5,147,229.6875,high,100,0,8.08
22/9/2024,22,147,229.6875,high,100,0,7.17
23/9/2024,21.5,149,232.8125,high,100,0,6.95
24/9/2024,23,148,231.25,high,100,0,7.47
25/9/2024,22.5,149,232.8125,high,100,0,7.02
26/9/2024,20.5,151,235.9375,Medium,100,0,7.22
27/9/2024,21,135,340.2985075,Medium,100,0,8.13
28/9/2024,22.5,139,217.1875,Medium,100,0,8.54
29/9/2024,20,121,189.0625,Medium,100,0,7.12
30/9/2024,22.5,126,196.875,Medium,100,1575700.00%,7.51
